,Question,Answer,Solution,url
0,"6) Statements:
I) Some cups are spoons
II) Some plates are spoons 
Conclusion:
I) All plates may be cups
II) Some spoons are plates

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows
E. Both I and II follow


",E,"From the given statements and the above diagram, it is clear that there is a possibility that all plates may be cups. Also, some spoons are plates. So, both the conclusions follow.
",https://www.javatpoint.com/syllogism-2
1,"7) Statements:
I) Some balloons are hats
II) All hats are cakes
Conclusion:
I) All cakes are balloons
II) All balloons are cakes

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows
E. Both I and II follow


",D,"From the given statements and the above diagram, it is clear that neither I nor II follows.
",https://www.javatpoint.com/syllogism-2
2,"8) Statements:
I) No candy is a pizza
II) No pizza is a burger
Conclusion:
I) No candy is a burger 
II) All burgers are candies

A. Only I follows
B. Only II follows 
C. Only I and II follows
D. Neither I nor II follows 
E. Both I and II follow 


",D,"From the given statements and the above diagram, it is clear that there is no direct relation between the candy and burger, so neither I nor II follows.
",https://www.javatpoint.com/syllogism-2
3,"9) Statements:
I) All cars are buses 
II) All buses are trains 
Conclusions:
I) Some trains are buses
II) Some trains are cars 

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows 
E. Both the conclusions follow


",E,"From the given statements and the above diagram, it is clear that both the conclusions follow.
",https://www.javatpoint.com/syllogism-2
4,"10) Statements: 
I) No square is a triangle
II) All triangles are circles
III) Some rectangles are squares
IV) Some circles are rectangles 
Conclusions: 
I) No square is a circle
II) All rectangles being triangles is a possibility
III) All circles being squares is a possibility

A. Only I follows
B. Only I and II follow
C. Only III follows 
D. All conclusions follow
E. None of the conclusions follow


",,"From the given statements and the above diagram, it is clear that none of the conclusions follow.
",https://www.javatpoint.com/syllogism-2
0,"11) Statements:
I) Some sheets are plants
II) All sheets are pages
III) No plant is tile
IV) All chips are tiles
Conclusions:
I) Some plants are chips is a possibility 
II) All sheets are chips is a possibility 
III) No chip is a plant

A. Only conclusion II follows
B. Conclusions I and III follow
C. Only conclusion III follows 
D. Only conclusion II and III follow
E. None of these


",C,"From the given statements and the above diagram, it is clear that only the conclusion III follows.
",https://www.javatpoint.com/syllogism-3
1,"12) Statements:
I) All parrots are birds
II) All birds are cats
III) Some cats are jugs 
IV) Some jugs are plates
Conclusions:
I) Some plates are cats
II) Some plates are birds
III) Some cats are parrots
IV) Some birds are parrots

A. Only III and IV follow 
B. Only I and III follow 
C. Only I and II follow 
D. Only II and IV follow 
E. None of these 


",A,"From the given statements and the above diagram, it is clear that conclusions III and IV follow.
",https://www.javatpoint.com/syllogism-3
2,"13) Which of the two conclusions can be concluded on the basis of given statements?
Statements:
I) All workers are men
II) No man is educated
Conclusions:


A. Only I follows
B. Only II follows
C. Both I and II follow
D. None of the above


",,"The possible diagrams are shown below for the given statements:
From the given statements and the above diagram, it is clear that both I and III follow.
",https://www.javatpoint.com/syllogism-3
3,"14) Statements:
I) Some fruits are mangoes. 
II) All mangoes are grapes.
III) No grapes are apples 
Conclusions:
I) All fruits are apples
II) No mango is an apple

A. Only I follows 
B. Only II follows 
C. Either conclusion I or II follows 
D. Both conclusions I and II follow 
E. None of these 


",B,"From the given statements and the above diagram, it is clear that only II follows.
",https://www.javatpoint.com/syllogism-3
4,"15) Statements:
I) All pencils are ink.
II) No ink is an eraser. 
Conclusions:
I. No pencil is an eraser. 
II. Some erasers are pencils.

A. Only I follows
B. Either I or II follows
C. Only II follows
D. Both I and II follow 
E. Neither I nor II follows 


",A,"From the given statements and the above diagram, it is clear that only I follows.
",https://www.javatpoint.com/syllogism-3
0,"16) Statements:
I) Some roads are highways
II) Some highways are waterways 
III) Some waterways are airways
Conclusions:
I. Some airways are roads
II. Some waterways are roads
III. Some airways are highways
IV. Some roads are airways

A. Only I follows
B. Either I or II or III follows
C. Only II follows
D. All I, II and III follow 
E. None follows 


",E,"A conclusion is true if it is true in any possible Venn diagram. From the above Venn diagram, we can say that none of the above conclusions follows.
",https://www.javatpoint.com/syllogism-4
1,"17) Statements:
I) All boots are slippers
II) No slipper is a shoe
III) All shoes are caps 
Conclusions:
I. Some boots are caps.
II. All slippers are boots.
III. Some caps are slippers.
IV. All boots are slippers.

A. Only I follows
B. Either I or II or III follows
C. Only IV follows
D. I, II and III follow 
E. None follows


",C,"From the given statements and the above diagram, it is clear that only IV follows.
",https://www.javatpoint.com/syllogism-4
2,"18) Statements:
No window is a cat.
All the cats are dogs.
Conclusions:
I. No window is a dog
II. No dog is a window
III. Some dogs are cats
IV. All the dogs are cats

A. Only II and III follow
B. Only I and III 
C. Only III and IV follow
D. Only III follows
E. All the four follow


",D,"From the given statements, two Venn diagrams can be made and from both the diagrams it is clear that only III follows.
",https://www.javatpoint.com/syllogism-4
3,"19) Statements:
I). All the pens are scales
II). All the scales are calendars
Conclusions:
I. All the calendars are scales
II. All the pens are calendars
III. All the scales are pens
IV. Some calendars are pens

A. Only I and IV follow
B. Only III and IV follow
C. Only II and IV follow
D. Only I and II follow
E. Only I and III follow


",C,"From the given statements, we can make a single Venn diagram that shows only II and IV follow.
",https://www.javatpoint.com/syllogism-4
4,"20) Statements:
I. Some tables are towers
II. Some towers are rats 
Conclusions:
I. Some tables are rats
II. Some rats are tables
III. All the rats are towers
IV. All the towers are tables

A. Only II and IV follow
B. Only I and III follow
C. Only IV follows
D. Only I and IV follow
E. None of the four


",E,"From the given statements, we can make two Venn diagrams that show none of the four options follows.
",https://www.javatpoint.com/syllogism-4
