,Question,Answer,Solution,url
0,"6) Arrange the following words in a meaningful sequence.
1. Cotton
2. Plant
3. Yarn
4. Cloth
5. Shirt

A. 2, 1, 3, 4, 5
B. 2, 1, 3, 5, 4
C. 1, 4, 5, 2, 3
D. 4, 5, 1, 3, 2


",A,"The plant provides cotton and cotton provides yarn. The cloth is produced from yarn and shirt is made from cloth.
",https://www.javatpoint.com/logical-sequence-of-words-2
1,"7) Arrange the following words in a meaningful sequence.
1. Lock
2. Key
3. Door
4. Entry
5. Switch on

A. 2, 1, 3, 5, 4
B. 3, 2, 1, 4, 5 
C. 2, 1, 3, 4, 5
D. 4, 5, 1, 3, 2


",C,"Key opens the lock then we open the door to enter the room, and then we switch on the light.
",https://www.javatpoint.com/logical-sequence-of-words-2
2,"8) Arrange the following words in a logical sequence.
1. Iron
2. Copper
3. Gold
4. Silver
5. Aluminium

A. 2, 1, 4, 3, 5
B. 2, 1, 3, 4, 5
C. 1, 2, 5, 4, 3
D. 1, 5, 2, 4, 3


",D,"Iron is cheaper than aluminium and aluminium is cheaper than copper. Copper is cheaper than silver and silver is cheaper than gold.
",https://www.javatpoint.com/logical-sequence-of-words-2
3,"9) Arrange the following words in a logical sequence.
1. Chair
2. Wood
3. Seed
4. Plant
5. Tree

A. 3, 4, 5, 2, 1
B. 3, 5, 4, 2, 1
C. 3, 4, 5, 1, 2
D. 4, 3, 5, 2, 1


",A,"The seed produces a plant which becomes tree as it grows. Wood is obtained from tree and wood is used to make chairs.
",https://www.javatpoint.com/logical-sequence-of-words-2
4,"10) Arrange the following words in a logical sequence.
1. Frog
2. Grass
3. Grasshopper
4. Eagle
5. Snake

A. 1, 2, 3, 5, 4
B. 2, 3, 1, 5, 4
C. 2, 3, 1, 4, 5
D. 2, 1, 3, 5, 4


",B,"A grasshopper eats grass, and a frog eats a grasshopper. Snake eats frog and Eagle eats snake.
",https://www.javatpoint.com/logical-sequence-of-words-2
0,"11) Arrange the following words in a logical sequence.
1. Wrist
2. Elbow
3. Shoulder 
4. Palm
5. Finger

A. 2, 4, 3, 5, 1
B. 3, 2, 1, 5, 4
C. 3, 2, 1, 4, 5
D. 5, 4, 1, 3, 2


",C,"The names of the parts of the Hand are given which can be arranged in a sequence from top to bottom, e.g. Shoulder, Elbow, Wrist, Palm, and Finger.
",https://www.javatpoint.com/logical-sequence-of-words-3
1,"12) Arrange the following words in a logical sequence.
1. Mosquito
2. Cat
3. Lizard
4. Cow 
5. Elephant

A. 2, 4, 3, 5, 1
B. 1, 3, 2, 5, 4
C. 3, 2, 1, 4, 5
D. 1, 3, 2, 4, 5


",D,"Based on the size, we can arrange these animals in an order: mosquito, lizard, cat, cow, and an elephant.
",https://www.javatpoint.com/logical-sequence-of-words-3
2,"13) Arrange the following words in a logical sequence.
1. Rain
2. Sun
3. Rainbow
4. Child
5. Happy 

A. 1, 2, 3, 4, 5
B. 1, 3, 2, 4, 5
C. 2, 1, 3, 4, 5
D. 1, 3, 2, 5, 4


",A,"The rain comes first then Sun, and then rainbow is formed in the sky. When a child sees the rainbow, he feels happy.
",https://www.javatpoint.com/logical-sequence-of-words-3
3,"14) Arrange the following words in a logical sequence.
1. Room
2. Floor
3. Foundation
4. Walls
5. Ceiling 

A. 3, 4, 2, 5, 1
B. 3, 4, 5, 2, 1
C.  2, 3, 4, 5, 1
D.  1, 3, 2, 5, 4 


",B,"While constructing a room, the different parts are constructed in a particular sequence which is, foundation, walls, ceiling, floor, and room.
",https://www.javatpoint.com/logical-sequence-of-words-3
4,"15) Arrange the following words in a logical sequence.
1. Seed
2. Grain
3. Plant
4. Dough
5. Bread 

A. 1, 3, 2, 4, 5
B. 1, 3, 2, 5, 4 
C. 3, 1, 2, 4, 5
D. 1, 2, 2, 5, 4 


",A,"A seed grows into a plant; plant produces grains; grains are converted to flour; dough is made from flour and finally, bread is made from dough.
",https://www.javatpoint.com/logical-sequence-of-words-3
